 num     #instances         #bytes  class name (module)
  91:           119           2856  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.2)
  92:           116           2784  java.util.concurrent.CopyOnWriteArrayList (java.base@17.0.2)
  93:            43           2752  sun.nio.fs.WindowsFileAttributes (java.base@17.0.2)
  94:            56           2688  java.util.WeakHashMap (java.base@17.0.2)
  95:           102           2464  [Ljava.lang.reflect.Constructor; (java.base@17.0.2)
  96:            61           2440  java.security.CodeSource (java.base@17.0.2)
  97:            43           2408  java.io.FileCleanable (java.base@17.0.2)
  98:            43           2408  java.util.jar.JarFile (java.base@17.0.2)
  99:            25           2400  sun.nio.ch.WEPollSelectorImpl (java.base@17.0.2)
 100:            72           2304  java.lang.ref.ReferenceQueue (java.base@17.0.2)
 101:            95           2280  java.util.ArrayDeque (java.base@17.0.2)
 102:            70           2240  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.2)
 103:            46           2208  java.net.NetworkInterface (java.base@17.0.2)
 104:            25           2200  java.util.regex.Pattern (java.base@17.0.2)
 105:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@17.0.2)
 106:            53           2120  sun.security.util.NamedCurve (java.base@17.0.2)
 107:            43           2064  jdk.internal.loader.URLClassPath$JarLoader (java.base@17.0.2)
 108:           128           2048  java.lang.Character (java.base@17.0.2)
 109:            62           1984  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@17.0.2)
 110:           123           1968  java.util.concurrent.atomic.AtomicInteger (java.base@17.0.2)
 111:            49           1960  java.io.ObjectStreamField (java.base@17.0.2)
 112:            23           1840  io.vertx.ext.web.impl.RouteState
 113:            75           1800  java.lang.RuntimePermission (java.base@17.0.2)
 114:            71           1704  jdk.internal.module.SystemModuleFinders$2 (java.base@17.0.2)
 115:            53           1696  java.security.spec.EllipticCurve (java.base@17.0.2)
 116:            53           1696  sun.security.util.ObjectIdentifier (java.base@17.0.2)
 117:           101           1616  java.net.UnixDomainSocketAddress (java.base@17.0.2)
 118:           101           1616  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.2)
 119:            33           1584  java.time.temporal.ValueRange (java.base@17.0.2)
 120:            64           1536  java.lang.module.ModuleDescriptor$Provides (java.base@17.0.2)
 121:             1           1528  [[B (java.base@17.0.2)
 122:            63           1512  java.lang.module.ResolvedModule (java.base@17.0.2)
 123:            63           1512  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@17.0.2)
 124:            46           1472  java.io.File (java.base@17.0.2)
 125:            10           1440  [Ljava.lang.invoke.MemberName; (java.base@17.0.2)
 126:            60           1440  java.time.LocalDateTime (java.base@17.0.2)
