 num     #instances         #bytes  class name (module)
  88:            93           5952  jdk.internal.org.objectweb.asm.SymbolTable (java.base@17.0.2)
  89:           104           5824  java.util.LinkedHashMap (java.base@17.0.2)
  90:            71           5680  java.net.URI (java.base@17.0.2)
  91:            50           5600  sun.nio.ch.SocketChannelImpl (java.base@17.0.2)
  92:            15           5520  java.lang.Thread (java.base@17.0.2)
  93:           171           5472  java.util.ArrayList$Itr (java.base@17.0.2)
  94:           170           5440  java.lang.module.ModuleDescriptor$Requires (java.base@17.0.2)
  95:           161           5152  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@17.0.2)
  96:           104           4992  ch.qos.logback.classic.Logger
  97:            64           4904  [Ljava.lang.reflect.Method; (java.base@17.0.2)
  98:           302           4832  java.security.SecureClassLoader$CodeSourceKey (java.base@17.0.2)
  99:           120           4800  java.lang.invoke.DirectMethodHandle$Constructor (java.base@17.0.2)
 100:            73           4672  java.lang.module.ModuleDescriptor (java.base@17.0.2)
 101:           192           4608  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@17.0.2)
 102:           143           4576  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@17.0.2)
 103:            56           4456  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.2)
 104:           278           4448  java.util.zip.CRC32 (java.base@17.0.2)
 105:           134           4288  java.lang.invoke.DirectMethodHandle (java.base@17.0.2)
 106:            87           4176  jdk.internal.org.objectweb.asm.AnnotationWriter (java.base@17.0.2)
 107:            71           3976  java.lang.Module (java.base@17.0.2)
 108:            71           3976  jdk.internal.module.ModuleReferenceImpl (java.base@17.0.2)
 109:            98           3920  java.io.FileDescriptor (java.base@17.0.2)
 110:            98           3920  java.lang.ref.Finalizer (java.base@17.0.2)
 111:            25           3800  io.netty.channel.nio.NioEventLoop
 112:            94           3760  java.lang.Package$VersionInfo (java.base@17.0.2)
 113:           148           3552  java.util.ImmutableCollections$List12 (java.base@17.0.2)
 114:            55           3520  java.util.zip.Inflater (java.base@17.0.2)
 115:           104           3512  [[C (java.base@17.0.2)
 116:           146           3504  java.lang.invoke.LambdaForm$NamedFunction (java.base@17.0.2)
 117:            43           3440  java.util.zip.ZipFile$Source (java.base@17.0.2)
 118:            84           3360  java.math.BigDecimal (java.base@17.0.2)
 119:           103           3296  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.2)
 120:           130           3120  java.util.ImmutableCollections$SetN (java.base@17.0.2)
 121:            95           3040  java.lang.Package (java.base@17.0.2)
 122:           124           2992  [Ljava.lang.reflect.Constructor; (java.base@17.0.2)
 123:           183           2928  java.util.HashMap$EntrySet (java.base@17.0.2)
 124:           119           2856  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.2)
 125:            59           2832  jdk.internal.org.objectweb.asm.ClassReader (java.base@17.0.2)
 126:            88           2816  java.lang.invoke.MethodHandles$Lookup$ClassDefiner (java.base@17.0.2)
 127:           116           2784  java.util.concurrent.CopyOnWriteArrayList (java.base@17.0.2)
 128:            43           2752  sun.nio.fs.WindowsFileAttributes (java.base@17.0.2)
 129:            56           2688  java.util.WeakHashMap (java.base@17.0.2)
 130:            37           2664  java.util.regex.Matcher (java.base@17.0.2)
 131:            43           2408  java.io.FileCleanable (java.base@17.0.2)
 132:            43           2408  java.util.jar.JarFile (java.base@17.0.2)
